Course,Course GPA,Professor,Professor Average GPA
Introduction to Computer Architecture (552),3.39,DAVID A. WOOD,3.19
Introduction to Computer Architecture (552),3.39,VISHAL KIRTI,3.55
Introduction to Computer Architecture (552),3.39,MARK HILL,3.39
Introduction to Cryptography (435),3.05,RITHIK JAIN,3.05
Introduction to Cryptography (435),3.05,ABTIN AFSHAR SHANDI,3.33
Introduction to Cryptography (435),3.05,RISHAB GOYAL,3.24
Introduction to Cryptography (435),3.05,SAIKUMAR YADUGIRI,3.36
Introduction to Cryptography (435),3.05,MIKHAIL IVANOV,3.26
Introduction to Cryptography (435),3.05,FENG ZHU,2.74
Introduction to Cryptography (435),3.05,SOMESH JHA,3.21
Introduction to Cryptography (435),3.05,JIAQI CHENG,3.28
Introduction to Cryptography (435),3.05,MATTHEW KINGSTON,3.17
Introduction to Cryptography (435),3.05,DAVID ZIKEL,3.22
Introduction to Cryptography (435),3.05,ROMIT KANKARIA,3.17
Introduction to Cryptography (435),3.05,ERIC BACH,2.99
Introduction to Cryptography (435),3.05,SHAMGAR GUREVICH,3.39
Introduction to Cryptography (435),3.05,NILS PALUMBO,3.36
Introduction to Cryptography (435),3.05,TIANHAO CHAI,3.36
Introduction to Cryptography (435),3.05,ROCIL MACHADO,3.30
Introduction to Cryptography (435),3.05,JIHYE CHOI,3.30
Introduction to Cryptography (435),3.05,NICOLLAS MOCELIN SDROIEVSKI,3.30
Introduction to Cryptography (435),3.05,EDWARD HANSON,3.28
Introduction to Cryptography (435),3.05,ROBERT WALKER,3.15
Introduction to Cryptography (435),3.05,NIGEL BOSTON,2.68
Introduction to Cryptography (435),3.05,GREGORY SHINAULT,3.58
Introduction to Cryptography (435),3.05,WOOYEONG JANG,2.95
Introduction to Cryptography (435),3.05,SUBRAMANYA GAUTAM PRAKRIYA VENKATA,2.95
Introduction to Cryptography (435),3.05,ANDREI CALDARARU,2.12
Introduction to Cryptography (435),3.05,DONGNING WANG,3.41
Introduction to Data Programming (301),3.28,TYLER CARAZA-HARTER,3.29
Introduction to Data Programming (301),3.28,CAROLINE HARDIN,3.23
Introduction to Data Programming (301),3.28,ADALBERT GERALD SOOSAI RAJ,3.38
Introduction to Data Programming (301),3.28,LAURA LEGAULT,3.29
Introduction to Data Programming (301),3.28,PAUL BARFORD,3.21
Introduction to Data Programming (301),3.28,ALEXANDER BROOKS,2.88
Introduction to Data Programming (301),3.28,GAUTAM UMESH SARGUR,2.80
Introduction to Data Programming (301),3.28,ANUSHA DASARAKOTHAPALLI,2.80
Introduction to Programming (302),2.87,LAURA LEGAULT,2.83
Introduction to Programming (302),2.87,JAMES WILLIAMS,3.05
Introduction to Programming (302),2.87,GARY DAHL,3.06
Introduction to Programming (302),2.87,DEBRA DEPPELER,2.82
Introduction to Programming (302),2.87,JOHN CULHANE,3.12
Introduction to Programming (302),2.87,STEPHEN BROWN,2.97
Introduction to Programming (302),2.87,MATTHEW BERNSTEIN,3.05
Introduction to Programming (302),2.87,NIKOLAOS PAPPAS,2.50
Introduction to Programming (302),2.87,MELISSA TRESS,3.00
Introduction to Programming (302),2.87,ALISA MAAS,2.47
Introduction to Programming (302),2.87,SHREEDHAR HARDIKAR,3.04
Introduction to Programming (302),2.87,ROBERT ATLAS,2.73
Introduction to Programming (302),2.87,ALICIA MAXWELL,2.74
Introduction to Programming (302),2.87,SETH POLLEN,2.87
Introduction to Programming (302),2.87,JOHN MILLER,2.71
Introduction to Programming (302),2.87,JAMES SKRENTNY,2.82
Introduction to Programming (302),2.87,DALIBOR ZELENY,2.98
Introduction to Programming (302),2.87,NOAH LARSEN,2.77
Introduction to Programming (302),2.87,DANIEL SZAFIR,2.93
Introduction to Programming (302),2.87,PETER OHMANN,2.86
Introduction to Programming (302),2.87,FINN KUUSISTO,2.86
Introduction to Programming (302),2.87,GEORGE WANANT,2.71
Introduction to Programming (302),2.87,ALEXANDER COBIAN,3.13
Introduction to Programming (302),2.87,CADEN HOWELL,2.29
Introduction to Programming (302),2.87,HOLLY ESQUIVEL,2.29
Introduction to Programming (302),2.87,SEAN CROSBY,3.17
Introduction to Programming (302),2.87,MARK CHAPMAN,3.14
Introduction to Programming (302),2.87,BARIS AYDINLIOGLU,3.14
Introduction to Programming (302),2.87,BECK HASTI,2.85
Introduction to Programming (302),2.87,TIMOTHY CARL BAHLS,3.00
Introduction to Programming (302),2.87,ROKAS VENCKEVICIUS,3.23
Introduction to Programming (302),2.87,MICHAEL RAYMOND KOWALCZYK,3.16
Introduction to Programming (302),2.87,ANDREW DOUGLAS WEINRICH,3.12
Introduction to Programming (302),2.87,WILLIAM C. BENTON,3.00
Introduction to Programming (302),2.87,MATTHEW ANDERSON,2.46
