Professor,Professor GPA
DEVESH SARDA,3.53
- TABISH,3.53
HANGDONG ZHAO,3.53
RUHUI JIN,3.49
SEBASTIEN ROCH,3.55
DAVID CLANCY,2.97
HANBAEK LYU,3.39
NAN CHEN,3.94
PAUL STOY,3.56
SPENCER ERICKSEN,3.86
SIN YIN LIM,3.86
YAXIAN LIAO,3.86
FUMIN LI,3.86
JOHN J. CURTIN,3.63
MICHELLE MARJI,3.7
KENDRA WYANT,3.7
SARAH SANT'ANA,3.53
MATTHEW COOPER BORKENHAGEN,3.53
KARL BROMAN,4.0
KEATON LEPPANEN,3.77
ABHAY KUMAR,3.63
CAROLINE HARDIN,3.23
LAURA LEGAULT,3.29
PAUL BARFORD,3.21
GAUTAM UMESH SARGUR,2.8
ANUSHA DASARAKOTHAPALLI,2.8
JUSTIN HSU,3.69
CHRISTINE SCHWARTZ,3.83
CULLEN COHANE,3.77
GRIFFIN BUR,4.0
CHRISTOPHER HOLMES,3.73
JAMES RAYMO,3.7
DAVID SCHELLY,3.8
JOHN LOGAN,3.12
BO YANG,3.7
ZHIFENG CHEN,3.83
NURSULTAN AZHIMURATOV,3.84
ZHONGLING LIAO,3.66
PO-KUEI CHEN,3.71
ZHUOYAN XU,3.85
BOWEN HU,3.6
ALEXANDER COVINGTON,3.91
BEHZAD AALIPUR HAFSHEJANI,3.85
JUAN FRANCISCO MANDUJANO REYES,3.57
QIONGSHI LU,3.89
KRIS SANKARAN,3.64
SARAH LUONGO,3.0
ZIJIE ZHAO,3.56
MARIA KAMENETSKY,3.93
CECILE ANE,3.35
TZU HSIANG HUNG,3.79
JUN ZHU,3.89
KUNLING HUANG,4.0
YUETIAN LUO,3.96
NICOLAS GARCIA TRILLOS,3.23
VIVAK PATEL,4.0
CORA ALLEN-COLEMAN,3.81
QING LI,3.88
LIAM JOHNSTON,3.98
YIFAN MEI,3.98
YOUNG LEE,4.0
GARVESH RASKUTTI,3.15
FREDERICK BOEHM,3.45
DONGGYU KIM,3.88
RISHABH DUDEJA,3.28
YAZHEN WANG,3.01
JUN SHAO,3.59
CHRISTINA M. KENDZIORSKI,3.75
ZHENGZHENG TANG,3.85
KIRIN HONG,3.95
SAM NYCKLEMOE,3.63
YEONHEE PARK,3.79
HUAN LIANG,3.81
COLIN LONGHURST,3.81
TIMOTHY GRUENLOH,3.87
YANBO SHEN,3.73
JIWEI ZHAO,3.89
RYAN ZEA,3.93
REBECCA KOSCIK,3.92
PAUL RATHOUZ,3.85
